"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"IC11,IC9,IC13,IC7";"QFN50P400X400X100-25N-D";4;"MAPS-010164-TR0500";;;
2;"C25,C27,C73,C64,C71,C87,C63,C95,C18,C19,C45,C88,C17,C26,C40,C48,C96,C42,C72,C94,C49,C50,C68,C86,C65,C91,C22,C41";"C_0603_1608Metric";28;"1.3 pF";;;
3;"C67,C15,C16,C38,C62,C61,C44,C39,C5,C21,C85,C84,C90";"C_0603_1608Metric";13;"100pF";;;
4;"C28,C35,C51,C58,C81,C97,C104,C74";"C_0402_1005Metric";8;"18 pF";;;
5;"R37,R25,R61,R49";"R_0603_1608Metric";4;"8.2";;;
6;"C31,C98,C112,C75,C80,C77,C100,C32,C54,C29,C101,C52,C78,C110,C34,C108,C57,C103,C106,C55";"C_0603_1608Metric";20;"100 pF";;;
7;"C107,C30,C111,C79,C109,C105,C53,C102,C76,C56,C99,C33";"C_0603_1608Metric";12;"1 uF";;;
8;"L11,L19,L5,L20,L28,L26,L8,L12,L17,L6,L15,L14,L25,L18,L7,L10,L9,L16,L27,L13";"L_0402_1005Metric";20;"L_Ferrite";;;
9;"R14,R12";"R_0603_1608Metric";2;"453k";;;
10;"J13,J12,J22,J10,J19,J23,J11,J14,J16,J20,J9,J17";"MM80302610RJ3";12;"MM8030-2610RJ3";;;
11;"J21,J18,J15,J6";"SMA_Amphenol_901-144_Vertical";4;"Conn_Coaxial";;;
12;"R68,R67,R66,R69";"R_0402_1005Metric";4;"50";;;
13;"C36,C4,C20,C60,C13,C82,C37,C43,C83,C89,C59,C14,C66";"C_0603_1608Metric";13;"0.1uF";;;
14;"C7,C93,C70,C47,C2,C24";"C_0603_1608Metric";6;"1uF";;;
15;"R44,R57,R46,R58,R35,R34,R19,R59,R23,R33,R30,R54,R43,R56,R60,R48,R42,R31,R55,R18,R20,R24,R32,R45,R22,R21,R36,R47";"R_0603_1608Metric";28;"50";;;
16;"R40,R9,R6,R11,R8,R3,R52,R26,R50,R10,R62,R28,R64,R5,R38,R7";"R_0603_1608Metric";16;"0";;;
17;"R17,R16,R13,R15";"R_0603_1608Metric";4;"49.9k";;;
18;"J4,J3,J2,J5";"PinHeader_1x01_P2.54mm_Vertical";4;"Conn_01x01_Pin";;;
19;"C92,C46,C23,C69";"C_0603_1608Metric";4;"470p";;;
20;"J26,J24,J27,J1,J28";"SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount";5;"Conn_Coaxial";;;
21;"IC4";"SON50P300X400X80-15N-D";1;"LT3041ADE#PBF";;;
22;"HY4,HY2,HY3,HY1";"BDCA11040";4;"BDCA1-10-40+";;;
23;"L23,L24,L21,L22";"L_0402_1005Metric";4;"L_Ferrite";;;
24;"IC8,IC12,IC10,IC14";"QPA9122TR7";4;"QPA9122TR7";;;
25;"R27,R51,R39,R63";"R_0603_1608Metric";4;"51";;;
26;"L2,L4,L3,L1";"L_0603_1608Metric";4;"12 nH";;;
27;"IC3,IC2,IC1";"QFN51P300X300X89-13N";3;"GP2Y1+";;;
28;"C3,C6,C8,C10,C1,C9";"C_1206_3216Metric";6;"10uF";;;
29;"R2,R1";"R_0603_1608Metric";2;"1M";;;
30;"AT3,AT2,AT4,AT1";"QFN50P300X300X90-17N";4;"RFSA3713TR7";;;
31;"L31,L32,L30,L29";"L_0201_0603Metric";4;"L_Ferrite";;;
32;"C12,C11";"C_1206_3216Metric";2;"4.7uF";;;
33;"IC5";"SON50P300X400X80-15N-D";1;"LT3099ADE#PBF";;;
34;"J25";"PinHeader_2x14_P2.54mm_Horizontal";1;"Conn_02x14_Odd_Even";;;
35;"J7";"PinSocket_1x03_P2.54mm_Vertical";1;"Conn_01x03_Socket";;;
36;"U1";"NS16";1;"SN74HCT138NSR";;;
37;"R4";"R_0603_1608Metric";1;"200k";;;
38;"J8";"PinHeader_2x08_P2.54mm_Horizontal";1;"Conn_02x08_Odd_Even";;;
39;"IC6";"SOT95P280X100-5N";1;"ADPL40502AUJZ-1.5-R7";;;
