timestamp,phase_1,phase_2,phase_3,phase_4,power_dbm,freq_hz
2026-04-03T15:12:12.637814,0,0,0,0,-47.2700,2345000000.00
2026-04-03T15:12:13.196245,0,0,0,0,-47.0600,2345000000.00
2026-04-03T15:12:13.727031,8,0,0,0,-46.4500,2345000000.00
2026-04-03T15:12:14.265884,16,0,0,0,-46.1600,2345000000.00
2026-04-03T15:12:14.803651,24,0,0,0,-46.8200,2345000000.00
2026-04-03T15:12:15.364010,32,0,0,0,-44.2100,2345000000.00
2026-04-03T15:12:15.902925,40,0,0,0,-44.5400,2345000000.00
2026-04-03T15:12:16.443707,48,0,0,0,-45.4200,2344999990.00
2026-04-03T15:12:16.979707,56,0,0,0,-45.6000,2345000000.00
2026-04-03T15:12:17.545316,32,0,0,0,-45.7400,2345000000.00
2026-04-03T15:12:18.083961,32,8,0,0,-44.4500,2345000000.00
2026-04-03T15:12:18.623575,32,16,0,0,-43.8600,2345000000.00
2026-04-03T15:12:19.160405,32,24,0,0,-44.1500,2345000000.00
2026-04-03T15:12:19.721229,32,32,0,0,-44.0800,2345000000.00
2026-04-03T15:12:20.257775,32,40,0,0,-44.0500,2345000000.00
2026-04-03T15:12:20.796883,32,48,0,0,-44.0600,2345000000.00
2026-04-03T15:12:21.329975,32,56,0,0,-44.0400,2345000000.00
2026-04-03T15:12:21.888452,32,16,0,0,-44.0200,2345000000.00
2026-04-03T15:12:22.424916,32,16,8,0,-43.9900,2345000000.00
2026-04-03T15:12:22.964794,32,16,16,0,-44.0500,2345000000.00
2026-04-03T15:12:23.502969,32,16,24,0,-44.5300,2345000000.00
2026-04-03T15:12:24.061763,32,16,32,0,-44.6300,2345000000.00
2026-04-03T15:12:24.600167,32,16,40,0,-44.6300,2345000000.00
2026-04-03T15:12:25.138227,32,16,48,0,-44.5100,2345000000.00
2026-04-03T15:12:25.675884,32,16,56,0,-44.4900,2345000000.00
2026-04-03T15:12:26.235959,32,16,8,0,-44.4900,2345000000.00
2026-04-03T15:12:26.772676,32,16,8,8,-44.4800,2345000000.00
2026-04-03T15:12:27.312601,32,16,8,16,-44.4900,2345000000.00
2026-04-03T15:12:27.851205,32,16,8,24,-44.4900,2345000000.00
2026-04-03T15:12:28.409911,32,16,8,32,-44.4700,2345000000.00
2026-04-03T15:12:28.944244,32,16,8,40,-44.4600,2345000000.00
2026-04-03T15:12:29.478325,32,16,8,48,-44.4700,2345000000.00
2026-04-03T15:12:30.017307,32,16,8,56,-44.4700,2345000000.00
2026-04-03T15:12:30.579480,0,16,0,0,-44.4800,2345000000.00
2026-04-03T15:12:31.114785,8,16,0,0,-44.4800,2345000000.00
2026-04-03T15:12:31.650439,16,16,0,0,-44.4200,2345000000.00
2026-04-03T15:12:32.187107,24,16,0,0,-43.9700,2345000000.00
2026-04-03T15:12:32.744743,32,16,0,0,-43.7800,2345000000.00
2026-04-03T15:12:33.283745,40,16,0,0,-43.8700,2345000000.00
2026-04-03T15:12:33.821909,48,16,0,0,-43.9100,2345000000.00
2026-04-03T15:12:34.354742,56,16,0,0,-43.9400,2345000000.00
2026-04-03T15:12:34.915511,32,0,0,0,-43.9500,2345000000.00
2026-04-03T15:12:35.454859,32,8,0,0,-43.9800,2345000000.00
2026-04-03T15:12:35.987713,32,16,0,0,-44.0100,2345000000.00
2026-04-03T15:12:36.526208,32,24,0,0,-44.1100,2345000000.00
2026-04-03T15:12:37.081239,32,32,0,0,-44.0200,2345000000.00
2026-04-03T15:12:37.618383,32,40,0,0,-43.9900,2345000000.00
2026-04-03T15:12:38.154070,32,48,0,0,-43.9800,2345000000.00
2026-04-03T15:12:38.692545,32,56,0,0,-43.9900,2345000000.00
2026-04-03T15:12:39.254843,32,0,0,0,-43.9900,2345000000.00
2026-04-03T15:12:39.794712,32,0,8,0,-43.9800,2345000000.00
2026-04-03T15:12:40.333808,32,0,16,0,-44.0300,2345000000.00
2026-04-03T15:12:40.870998,32,0,24,0,-44.1000,2345000000.00
2026-04-03T15:12:41.431945,32,0,32,0,-44.1100,2345000000.00
2026-04-03T15:12:41.966217,32,0,40,0,-44.0600,2345000000.00
2026-04-03T15:12:42.503580,32,0,48,0,-43.9900,2345000000.00
2026-04-03T15:12:43.041902,32,0,56,0,-44.0100,2345000000.00
2026-04-03T15:12:43.601567,32,0,8,0,-44.0600,2345000000.00
2026-04-03T15:12:44.141608,32,0,8,8,-44.0700,2345000000.00
2026-04-03T15:12:44.677953,32,0,8,16,-44.0300,2345000000.00
2026-04-03T15:12:45.213942,32,0,8,24,-44.0200,2345000000.00
2026-04-03T15:12:45.771003,32,0,8,32,-43.9800,2345000000.00
2026-04-03T15:12:46.307970,32,0,8,40,-44.1000,2345000000.00
2026-04-03T15:12:46.845068,32,0,8,48,-45.8100,2345000000.00
2026-04-03T15:12:47.379800,32,0,8,56,-45.2300,2345000000.00
2026-04-03T15:12:47.941630,0,16,0,0,-44.1200,2344999990.00
2026-04-03T15:12:48.478591,8,16,0,0,-45.8900,2345000000.00
2026-04-03T15:12:49.013205,16,16,0,0,-46.3600,2345000000.00
2026-04-03T15:12:49.551633,24,16,0,0,-46.3000,2345000000.00
2026-04-03T15:12:50.120577,32,16,0,0,-46.3300,2345000000.00
2026-04-03T15:12:50.656547,40,16,0,0,-46.5600,2345000000.00
2026-04-03T15:12:51.194647,48,16,0,0,-46.3600,2344999990.00
2026-04-03T15:12:51.730409,56,16,0,0,-46.3900,2345000000.00
2026-04-03T15:12:52.289287,0,0,0,0,-46.4800,2345000000.00
2026-04-03T15:12:52.830002,0,8,0,0,-46.6000,2345000000.00
2026-04-03T15:12:53.371256,0,16,0,0,-46.5000,2345000000.00
2026-04-03T15:12:53.910873,0,24,0,0,-46.2500,2345000000.00
2026-04-03T15:12:54.477737,0,32,0,0,-46.4300,2345000010.00
2026-04-03T15:12:55.016350,0,40,0,0,-46.1500,2345000000.00
2026-04-03T15:12:55.552264,0,48,0,0,-45.5500,2345000000.00
2026-04-03T15:12:56.089138,0,56,0,0,-45.4900,2345000000.00
2026-04-03T15:12:56.653198,0,56,0,0,-45.3200,2345000000.00
2026-04-03T15:12:57.190424,0,56,8,0,-45.2700,2345000000.00
2026-04-03T15:12:57.724848,0,56,16,0,-45.0900,2345000000.00
2026-04-03T15:12:58.262734,0,56,24,0,-45.0700,2345000000.00
2026-04-03T15:12:58.823390,0,56,32,0,-44.7200,2345000000.00
2026-04-03T15:12:59.362925,0,56,40,0,-44.7200,2345000000.00
2026-04-03T15:12:59.899696,0,56,48,0,-44.7700,2345000000.00
2026-04-03T15:13:00.438352,0,56,56,0,-45.0700,2345000000.00
2026-04-03T15:13:00.997876,0,56,32,0,-44.8400,2345000000.00
2026-04-03T15:13:01.536327,0,56,32,8,-44.8300,2345000000.00
2026-04-03T15:13:02.072907,0,56,32,16,-44.7400,2345000000.00
2026-04-03T15:13:02.612244,0,56,32,24,-44.7000,2345000000.00
2026-04-03T15:13:03.172688,0,56,32,32,-44.7000,2345000000.00
2026-04-03T15:13:03.706828,0,56,32,40,-44.5900,2345000000.00
2026-04-03T15:13:04.244814,0,56,32,48,-44.5400,2345000000.00
2026-04-03T15:13:04.785936,0,56,32,56,-44.4900,2345000000.00
2026-04-03T15:13:05.349733,32,16,0,0,-44.5000,2345000000.00
2026-04-03T15:13:05.886339,0,16,0,0,-44.5400,2345000000.00
2026-04-03T15:13:06.423962,1,16,0,0,-44.6100,2345000000.00
2026-04-03T15:13:06.955149,2,16,0,0,-44.5900,2345000000.00
2026-04-03T15:13:07.517263,3,16,0,0,-44.6000,2345000000.00
2026-04-03T15:13:08.050708,4,16,0,0,-44.6400,2345000000.00
2026-04-03T15:13:08.588022,5,16,0,0,-44.6200,2345000000.00
2026-04-03T15:13:09.126186,6,16,0,0,-44.6100,2345000000.00
2026-04-03T15:13:09.686585,7,16,0,0,-44.6100,2345000000.00
2026-04-03T15:13:10.224354,8,16,0,0,-44.6000,2345000000.00
2026-04-03T15:13:10.762416,9,16,0,0,-44.6200,2345000000.00
2026-04-03T15:13:11.300725,10,16,0,0,-44.6300,2345000000.00
2026-04-03T15:13:11.861828,11,16,0,0,-44.6200,2345000000.00
2026-04-03T15:13:12.400462,12,16,0,0,-44.6100,2345000000.00
2026-04-03T15:13:12.939893,13,16,0,0,-44.5200,2345000000.00
2026-04-03T15:13:13.479051,14,16,0,0,-44.4500,2345000000.00
2026-04-03T15:13:14.039210,15,16,0,0,-44.6300,2345000000.00
2026-04-03T15:13:14.577775,16,16,0,0,-44.6900,2345000000.00
2026-04-03T15:13:15.113099,17,16,0,0,-44.5900,2345000000.00
2026-04-03T15:13:15.651505,18,16,0,0,-44.5900,2345000000.00
2026-04-03T15:13:16.208324,19,16,0,0,-44.6300,2345000000.00
2026-04-03T15:13:16.742777,20,16,0,0,-44.8400,2345000000.00
2026-04-03T15:13:17.280175,21,16,0,0,-44.9100,2345000000.00
2026-04-03T15:13:17.817752,22,16,0,0,-45.2200,2344999990.00
2026-04-03T15:13:18.378831,23,16,0,0,-45.1700,2345000000.00
2026-04-03T15:13:18.915921,24,16,0,0,-45.1700,2345000000.00
2026-04-03T15:13:19.453708,25,16,0,0,-45.1200,2345000000.00
2026-04-03T15:13:19.991012,26,16,0,0,-45.2300,2345000000.00
2026-04-03T15:13:20.547502,27,16,0,0,-45.2100,2345000000.00
2026-04-03T15:13:21.083430,28,16,0,0,-45.5000,2345000000.00
2026-04-03T15:13:21.620846,29,16,0,0,-45.6300,2345000000.00
2026-04-03T15:13:22.156913,30,16,0,0,-45.9700,2345000000.00
2026-04-03T15:13:22.715879,31,16,0,0,-45.9000,2345000000.00
2026-04-03T15:13:23.250442,32,16,0,0,-45.8400,2345000000.00
2026-04-03T15:13:23.787361,33,16,0,0,-45.8300,2345000000.00
2026-04-03T15:13:24.326176,34,16,0,0,-45.8000,2345000000.00
2026-04-03T15:13:24.882477,35,16,0,0,-45.7600,2345000000.00
2026-04-03T15:13:25.419227,36,16,0,0,-45.6600,2345000000.00
2026-04-03T15:13:25.957079,37,16,0,0,-45.1000,2345000000.00
2026-04-03T15:13:26.496221,38,16,0,0,-45.1000,2345000000.00
2026-04-03T15:13:27.059504,39,16,0,0,-45.0900,2345000000.00
2026-04-03T15:13:27.596951,40,16,0,0,-45.0700,2345000000.00
2026-04-03T15:13:28.134380,41,16,0,0,-44.9700,2344999990.00
2026-04-03T15:13:28.667244,42,16,0,0,-45.2000,2345000000.00
2026-04-03T15:13:29.229825,43,16,0,0,-45.1900,2345000000.00
2026-04-03T15:13:29.766091,44,16,0,0,-45.2700,2345000000.00
2026-04-03T15:13:30.300652,45,16,0,0,-45.2400,2345000000.00
2026-04-03T15:13:30.838595,46,16,0,0,-45.3000,2345000000.00
2026-04-03T15:13:31.398667,47,16,0,0,-45.4200,2345000000.00
2026-04-03T15:13:31.936527,48,16,0,0,-45.4500,2345000000.00
2026-04-03T15:13:32.476765,49,16,0,0,-45.5200,2345000000.00
