timestamp,phase_1,phase_2,phase_3,phase_4,power_dbm,freq_hz
2026-04-05T17:52:26.228664,0,0,0,0,-48.6400,2345000000.00
2026-04-05T17:52:26.416919,0,0,0,0,-48.6300,2345000000.00
2026-04-05T17:52:26.603536,8,0,0,0,-48.7500,2345000000.00
2026-04-05T17:52:26.791545,16,0,0,0,-48.6300,2345000000.00
2026-04-05T17:52:26.978640,24,0,0,0,-48.5700,2345000000.00
2026-04-05T17:52:27.168249,32,0,0,0,-48.4200,2345000000.00
2026-04-05T17:52:27.353296,40,0,0,0,-48.1500,2345000000.00
2026-04-05T17:52:27.538490,48,0,0,0,-48.1500,2345000000.00
2026-04-05T17:52:27.722212,56,0,0,0,-48.2300,2345000000.00
2026-04-05T17:52:27.908809,8,0,0,0,-48.1200,2345000000.00
2026-04-05T17:52:28.103794,8,8,0,0,-48.0100,2345000000.00
2026-04-05T17:52:28.291379,8,16,0,0,-48.1700,2345000000.00
2026-04-05T17:52:28.479042,8,24,0,0,-48.5400,2345000000.00
2026-04-05T17:52:28.667606,8,32,0,0,-48.4700,2344999990.00
2026-04-05T17:52:28.857158,8,40,0,0,-48.5500,2345000000.00
2026-04-05T17:52:29.045402,8,48,0,0,-48.3800,2345000000.00
2026-04-05T17:52:29.232651,8,56,0,0,-48.0900,2344999990.00
2026-04-05T17:52:29.420439,8,40,0,0,-48.1500,2345000000.00
2026-04-05T17:52:29.607061,8,40,8,0,-48.2700,2345000000.00
2026-04-05T17:52:29.794657,8,40,16,0,-48.3500,2345000000.00
2026-04-05T17:52:29.981107,8,40,24,0,-48.4000,2345000000.00
2026-04-05T17:52:30.165241,8,40,32,0,-48.4300,2345000000.00
2026-04-05T17:52:30.350469,8,40,40,0,-48.4400,2345000000.00
2026-04-05T17:52:30.536187,8,40,48,0,-48.4100,2345000000.00
2026-04-05T17:52:30.723932,8,40,56,0,-48.3300,2344999990.00
2026-04-05T17:52:30.914117,8,40,40,0,-48.3000,2345000000.00
2026-04-05T17:52:31.103171,8,40,40,8,-48.3400,2345000000.00
2026-04-05T17:52:31.287861,8,40,40,16,-48.3300,2345000000.00
2026-04-05T17:52:31.477610,8,40,40,24,-48.3300,2345000000.00
2026-04-05T17:52:31.666165,8,40,40,32,-48.2900,2345000000.00
2026-04-05T17:52:31.850638,8,40,40,40,-48.3100,2345000000.00
2026-04-05T17:52:32.039996,8,40,40,48,-48.3100,2345000000.00
2026-04-05T17:52:32.224497,8,40,40,56,-48.2800,2345000000.00
2026-04-05T17:52:32.414581,8,0,0,0,-48.2700,2345000000.00
2026-04-05T17:52:32.604510,16,0,0,0,-48.2700,2345000000.00
2026-04-05T17:52:32.795523,24,0,0,0,-48.2700,2345000000.00
2026-04-05T17:52:32.983403,32,0,0,0,-48.2700,2345000000.00
2026-04-05T17:52:33.172183,40,0,0,0,-48.2700,2344999990.00
2026-04-05T17:52:33.358329,48,0,0,0,-48.3700,2345000000.00
2026-04-05T17:52:33.544813,56,0,0,0,-48.6400,2345000000.00
2026-04-05T17:52:33.732069,0,0,0,0,-48.8200,2345000000.00
2026-04-05T17:52:33.922398,0,0,0,0,-48.5200,2345000000.00
2026-04-05T17:52:34.109964,0,8,0,0,-47.9800,2344999990.00
2026-04-05T17:52:34.299303,0,16,0,0,-48.1000,2345000000.00
2026-04-05T17:52:34.486419,0,24,0,0,-48.5200,2345000000.00
2026-04-05T17:52:34.675831,0,32,0,0,-48.6200,2345000000.00
