timestamp,phase_1,phase_2,phase_3,phase_4,power_dbm,freq_hz
2026-04-03T15:07:43.758770,0,0,0,0,-95.1900,2344991190.00
2026-04-03T15:07:44.295955,0,0,0,0,-93.7000,2344991190.00
2026-04-03T15:07:44.832070,8,0,0,0,-93.6600,2344953360.00
2026-04-03T15:07:45.369237,16,0,0,0,-93.1200,2344965520.00
2026-04-03T15:07:45.904799,24,0,0,0,-92.8500,2344965520.00
2026-04-03T15:07:46.442341,32,0,0,0,-92.7700,2344965520.00
2026-04-03T15:07:46.974908,40,0,0,0,-92.5700,2344965520.00
2026-04-03T15:07:47.508918,48,0,0,0,-92.4600,2344965520.00
2026-04-03T15:07:48.044122,56,0,0,0,-92.3300,2344965520.00
2026-04-03T15:07:48.577831,56,0,0,0,-92.2800,2344965520.00
2026-04-03T15:07:49.113767,56,8,0,0,-92.2400,2344965520.00
2026-04-03T15:07:49.644216,56,16,0,0,-92.1800,2344965520.00
2026-04-03T15:07:50.178330,56,24,0,0,-92.1600,2344965520.00
2026-04-03T15:07:50.710945,56,32,0,0,-92.1500,2344965520.00
2026-04-03T15:07:51.244347,56,40,0,0,-92.0900,2344965520.00
2026-04-03T15:07:51.780244,56,48,0,0,-92.0500,2344965520.00
2026-04-03T15:07:52.313742,56,56,0,0,-92.0300,2344965520.00
2026-04-03T15:07:52.875832,56,56,0,0,-91.7700,2345011100.00
2026-04-03T15:07:53.410883,56,56,8,0,-91.6600,2345011100.00
2026-04-03T15:07:53.944481,56,56,16,0,-91.6400,2345011100.00
2026-04-03T15:07:54.477703,56,56,24,0,-91.6200,2345011100.00
2026-04-03T15:07:55.011850,56,56,32,0,-91.5600,2345011100.00
2026-04-03T15:07:55.543720,56,56,40,0,-91.5600,2345011100.00
2026-04-03T15:07:56.790307,56,56,48,0,-91.4600,2345011100.00
2026-04-03T15:07:57.325354,56,56,56,0,-91.4200,2345011100.00
2026-04-03T15:07:57.863445,56,56,56,0,-91.3900,2345011100.00
2026-04-03T15:07:58.398939,56,56,56,8,-91.3900,2345011100.00
2026-04-03T15:07:58.933555,56,56,56,16,-91.3400,2345011100.00
2026-04-03T15:07:59.469088,56,56,56,24,-91.3200,2345011100.00
2026-04-03T15:08:00.003184,56,56,56,32,-91.3100,2345011100.00
2026-04-03T15:08:00.535557,56,56,56,40,-91.2600,2345011100.00
