timestamp,n,m,ph1,ph2,ph3,ph4,power_dbm,freq_hz
2026-04-07T18:59:10.204827,0,0,0,0,0,0,-68.3000,2345000000.00
2026-04-07T18:59:11.300915,0,1,0,1,2,3,-68.0200,2345000000.00
2026-04-07T18:59:12.389760,0,2,0,2,4,6,-67.8700,2345000000.00
2026-04-07T18:59:13.476500,0,3,0,3,6,9,-68.0100,2345000000.10
2026-04-07T18:59:14.567576,0,4,0,4,8,12,-67.8000,2345000000.00
2026-04-07T18:59:15.655100,0,5,0,5,10,15,-68.4800,2345000000.00
2026-04-07T18:59:16.744422,0,6,0,6,12,18,-69.1900,2345000000.00
2026-04-07T18:59:17.832449,0,7,0,7,14,21,-70.0700,2345000000.10
2026-04-07T18:59:18.923816,0,8,0,8,16,24,-71.3300,2345000000.10
2026-04-07T18:59:20.014875,0,9,0,9,18,27,-72.7000,2345000000.00
2026-04-07T18:59:21.105877,0,10,0,10,20,30,-73.5300,2345000000.10
2026-04-07T18:59:22.191884,0,11,0,11,22,33,-73.8300,2345000000.00
2026-04-07T18:59:23.279075,0,12,0,12,24,36,-74.3100,2345000000.19
2026-04-07T18:59:24.368205,0,13,0,13,26,39,-73.7200,2345000000.10
2026-04-07T18:59:25.454526,0,14,0,14,28,42,-72.7000,2345000000.10
2026-04-07T18:59:26.544342,0,15,0,15,30,45,-71.6200,2345000000.00
2026-04-07T18:59:27.628484,0,16,0,16,32,48,-70.4100,2345000000.00
2026-04-07T18:59:28.712851,0,17,0,17,34,51,-69.5000,2345000000.00
2026-04-07T18:59:29.797957,0,18,0,18,36,54,-68.9200,2344999999.90
2026-04-07T18:59:30.881707,0,19,0,19,38,57,-68.3800,2345000000.10
2026-04-07T18:59:31.972744,0,20,0,20,40,60,-68.4100,2345000000.00
2026-04-07T18:59:33.064768,0,21,0,21,42,63,-68.4500,2345000000.10
2026-04-07T18:59:34.150453,0,22,0,22,44,2,-68.4800,2345000000.00
2026-04-07T18:59:35.236820,0,23,0,23,46,5,-69.1300,2344999999.90
2026-04-07T18:59:36.322686,0,24,0,24,48,8,-70.2200,2344999999.90
2026-04-07T18:59:37.414774,0,25,0,25,50,11,-71.7800,2345000000.10
2026-04-07T18:59:38.499299,0,26,0,26,52,14,-73.5400,2345000000.00
2026-04-07T18:59:39.582926,0,27,0,27,54,17,-76.2500,2345000000.00
2026-04-07T18:59:40.673204,0,28,0,28,56,20,-79.2300,2345000000.10
2026-04-07T18:59:41.761231,0,29,0,29,58,23,-77.8400,2345000000.10
2026-04-07T18:59:42.850337,0,30,0,30,60,26,-75.0400,2345000000.00
2026-04-07T18:59:43.937667,0,31,0,31,62,29,-71.7200,2345000000.00
2026-04-07T18:59:45.022947,0,32,0,32,0,32,-69.2100,2344999999.90
2026-04-07T18:59:46.111150,0,33,0,33,2,35,-66.9600,2345000000.10
2026-04-07T18:59:47.202706,0,34,0,34,4,38,-65.6200,2345000000.10
2026-04-07T18:59:48.323455,0,35,0,35,6,41,-64.1300,2345000000.10
2026-04-07T18:59:49.407716,0,36,0,36,8,44,-63.0600,2345000000.00
2026-04-07T18:59:50.494762,0,37,0,37,10,47,-62.0800,2345000000.00
2026-04-07T18:59:51.581571,0,38,0,38,12,50,-61.4200,2345000000.00
2026-04-07T18:59:52.673469,0,39,0,39,14,53,-60.8300,2345000000.00
2026-04-07T18:59:53.781190,0,40,0,40,16,56,-60.3300,2344999999.90
2026-04-07T18:59:54.870027,0,41,0,41,18,59,-60.1500,2345000000.00
2026-04-07T18:59:55.963446,0,42,0,42,20,62,-59.8100,2345000000.00
2026-04-07T18:59:57.050987,0,43,0,43,22,1,-59.6800,2345000000.00
2026-04-07T18:59:58.137259,0,44,0,44,24,4,-59.6700,2345000000.10
2026-04-07T18:59:59.225814,0,45,0,45,26,7,-59.8900,2345000000.00
2026-04-07T19:00:00.323056,0,46,0,46,28,10,-59.9800,2345000000.00
2026-04-07T19:00:01.414909,0,47,0,47,30,13,-60.5000,2345000000.19
2026-04-07T19:00:02.502130,0,48,0,48,32,16,-60.8200,2345000000.00
2026-04-07T19:00:03.590023,0,49,0,49,34,19,-61.6400,2345000000.00
2026-04-07T19:00:04.677492,0,50,0,50,36,22,-62.2200,2345000000.10
2026-04-07T19:00:05.768924,0,51,0,51,38,25,-63.3300,2345000000.10
2026-04-07T19:00:06.861803,0,52,0,52,40,28,-64.0900,2345000000.00
2026-04-07T19:00:07.952271,0,53,0,53,42,31,-65.5300,2344999999.90
2026-04-07T19:00:09.042468,0,54,0,54,44,34,-66.4400,2345000000.00
2026-04-07T19:00:10.126809,0,55,0,55,46,37,-68.1100,2345000000.00
2026-04-07T19:00:11.213602,0,56,0,56,48,40,-69.7400,2345000000.00
2026-04-07T19:00:12.300411,0,57,0,57,50,43,-71.1600,2345000000.00
2026-04-07T19:00:13.384249,0,58,0,58,52,46,-72.4200,2345000000.00
2026-04-07T19:00:14.477096,0,59,0,59,54,49,-72.4100,2345000000.00
2026-04-07T19:00:15.565469,0,60,0,60,56,52,-71.7700,2345000000.00
2026-04-07T19:00:16.652355,0,61,0,61,58,55,-70.9500,2344999999.90
2026-04-07T19:00:17.743133,0,62,0,62,60,58,-69.9200,2345000000.00
2026-04-07T19:00:18.831328,0,63,0,63,62,61,-68.9700,2345000000.00
2026-04-07T19:00:19.920063,16,0,16,16,16,16,-68.2200,2345000000.00
2026-04-07T19:00:21.007662,16,1,16,17,18,19,-68.1600,2344999999.90
2026-04-07T19:00:22.095143,16,2,16,18,20,22,-67.7600,2345000000.00
2026-04-07T19:00:23.183764,16,3,16,19,22,25,-67.8600,2345000000.19
2026-04-07T19:00:24.273119,16,4,16,20,24,28,-67.8500,2345000000.00
2026-04-07T19:00:25.366202,16,5,16,21,26,31,-68.5300,2344999999.90
2026-04-07T19:00:26.453923,16,6,16,22,28,34,-68.6400,2345000000.10
2026-04-07T19:00:27.544605,16,7,16,23,30,37,-69.4700,2345000000.10
2026-04-07T19:00:28.634688,16,8,16,24,32,40,-71.2100,2345000000.10
2026-04-07T19:00:29.717659,16,9,16,25,34,43,-72.4500,2345000000.19
2026-04-07T19:00:30.805880,16,10,16,26,36,46,-73.4800,2345000000.10
2026-04-07T19:00:31.895789,16,11,16,27,38,49,-74.2100,2345000000.00
2026-04-07T19:00:32.991093,16,12,16,28,40,52,-74.3900,2345000000.00
2026-04-07T19:00:34.082785,16,13,16,29,42,55,-73.6700,2345000000.10
2026-04-07T19:00:35.174048,16,14,16,30,44,58,-72.3900,2345000000.00
2026-04-07T19:00:36.259912,16,15,16,31,46,61,-71.1100,2345000000.10
2026-04-07T19:00:37.344118,16,16,16,32,48,0,-70.2500,2345000000.00
2026-04-07T19:00:38.432318,16,17,16,33,50,3,-69.0600,2345000000.10
2026-04-07T19:00:39.520517,16,18,16,34,52,6,-68.7000,2345000000.10
2026-04-07T19:00:40.603263,16,19,16,35,54,9,-67.9600,2345000000.10
2026-04-07T19:00:41.690995,16,20,16,36,56,12,-68.3400,2345000000.00
2026-04-07T19:00:42.778522,16,21,16,37,58,15,-68.3000,2345000000.00
2026-04-07T19:00:43.870320,16,22,16,38,60,18,-68.6800,2345000000.19
2026-04-07T19:00:44.957112,16,23,16,39,62,21,-69.1400,2345000000.00
2026-04-07T19:00:46.039791,16,24,16,40,0,24,-70.8000,2345000000.00
2026-04-07T19:00:47.122497,16,25,16,41,2,27,-72.2900,2345000000.00
2026-04-07T19:00:48.210830,16,26,16,42,4,30,-74.3300,2345000000.00
2026-04-07T19:00:49.298639,16,27,16,43,6,33,-76.5400,2344999999.90
2026-04-07T19:00:50.380456,16,28,16,44,8,36,-79.7000,2345000000.00
2026-04-07T19:00:51.467506,16,29,16,45,10,39,-78.1800,2345000000.00
2026-04-07T19:00:52.553745,16,30,16,46,12,42,-75.1400,2345000000.10
2026-04-07T19:00:53.637805,16,31,16,47,14,45,-71.8500,2345000000.00
2026-04-07T19:00:54.724148,16,32,16,48,16,48,-69.2500,2345000000.00
2026-04-07T19:00:55.814963,16,33,16,49,18,51,-67.4100,2345000000.00
2026-04-07T19:00:56.909237,16,34,16,50,20,54,-65.6900,2345000000.00
2026-04-07T19:00:57.991652,16,35,16,51,22,57,-64.5100,2345000000.00
2026-04-07T19:00:59.076489,16,36,16,52,24,60,-63.1500,2345000000.00
2026-04-07T19:01:00.158530,16,37,16,53,26,63,-62.3100,2345000000.00
2026-04-07T19:01:01.247583,16,38,16,54,28,2,-61.3100,2345000000.00
2026-04-07T19:01:02.334492,16,39,16,55,30,5,-60.8600,2345000000.00
2026-04-07T19:01:03.446628,16,40,16,56,32,8,-60.3200,2345000000.00
2026-04-07T19:01:04.534701,16,41,16,57,34,11,-60.0100,2345000000.10
2026-04-07T19:01:05.621167,16,42,16,58,36,14,-59.8400,2345000000.00
2026-04-07T19:01:06.711463,16,43,16,59,38,17,-59.8000,2345000000.00
2026-04-07T19:01:07.798568,16,44,16,60,40,20,-59.6000,2345000000.00
2026-04-07T19:01:08.888116,16,45,16,61,42,23,-59.8000,2345000000.00
2026-04-07T19:01:09.976586,16,46,16,62,44,26,-60.1100,2345000000.19
2026-04-07T19:01:11.061606,16,47,16,63,46,29,-60.3600,2345000000.10
2026-04-07T19:01:12.152261,16,48,16,0,48,32,-60.5500,2345000000.00
2026-04-07T19:01:13.242029,16,49,16,1,50,35,-61.2100,2345000000.00
2026-04-07T19:01:14.332346,16,50,16,2,52,38,-61.7300,2345000000.00
2026-04-07T19:01:15.414749,16,51,16,3,54,41,-62.7200,2345000000.00
2026-04-07T19:01:16.503948,16,52,16,4,56,44,-63.6400,2345000000.00
2026-04-07T19:01:17.589832,16,53,16,5,58,47,-64.9100,2345000000.10
2026-04-07T19:01:18.678177,16,54,16,6,60,50,-66.1200,2345000000.00
2026-04-07T19:01:19.760643,16,55,16,7,62,53,-67.7200,2345000000.00
2026-04-07T19:01:20.849788,16,56,16,8,0,56,-69.6300,2345000000.00
2026-04-07T19:01:21.935459,16,57,16,9,2,59,-71.5700,2345000000.00
2026-04-07T19:01:23.018279,16,58,16,10,4,62,-72.8300,2345000000.10
2026-04-07T19:01:24.102016,16,59,16,11,6,1,-72.8500,2345000000.00
2026-04-07T19:01:25.191036,16,60,16,12,8,4,-72.1000,2345000000.10
2026-04-07T19:01:26.280105,16,61,16,13,10,7,-70.7000,2345000000.00
2026-04-07T19:01:27.363052,16,62,16,14,12,10,-69.6300,2344999999.90
2026-04-07T19:01:28.453788,16,63,16,15,14,13,-68.8800,2345000000.00
2026-04-07T19:01:29.543152,32,0,32,32,32,32,-68.4800,2345000000.10
2026-04-07T19:01:30.636192,32,1,32,33,34,35,-68.2100,2345000000.00
2026-04-07T19:01:31.721672,32,2,32,34,36,38,-68.0700,2345000000.10
2026-04-07T19:01:32.812329,32,3,32,35,38,41,-68.1900,2345000000.00
2026-04-07T19:01:33.901127,32,4,32,36,40,44,-68.0000,2345000000.00
2026-04-07T19:01:34.986190,32,5,32,37,42,47,-68.6900,2345000000.10
2026-04-07T19:01:36.073807,32,6,32,38,44,50,-69.4700,2345000000.10
2026-04-07T19:01:37.162537,32,7,32,39,46,53,-70.3500,2345000000.10
2026-04-07T19:01:38.255463,32,8,32,40,48,56,-71.4900,2345000000.00
2026-04-07T19:01:39.342834,32,9,32,41,50,59,-72.8200,2345000000.10
2026-04-07T19:01:40.434273,32,10,32,42,52,62,-73.7300,2345000000.00
2026-04-07T19:01:41.527466,32,11,32,43,54,1,-74.8200,2344999999.90
2026-04-07T19:01:42.622625,32,12,32,44,56,4,-74.9100,2345000000.10
2026-04-07T19:01:43.708272,32,13,32,45,58,7,-73.4100,2344999999.90
2026-04-07T19:01:44.800579,32,14,32,46,60,10,-71.9600,2345000000.10
2026-04-07T19:01:45.888056,32,15,32,47,62,13,-70.7600,2345000000.00
2026-04-07T19:01:46.975703,32,16,32,48,0,16,-70.4100,2345000000.00
2026-04-07T19:01:48.065958,32,17,32,49,2,19,-69.5900,2345000000.00
2026-04-07T19:01:49.159467,32,18,32,50,4,22,-69.1500,2345000000.00
2026-04-07T19:01:50.246520,32,19,32,51,6,25,-68.6800,2345000000.00
2026-04-07T19:01:51.335445,32,20,32,52,8,28,-68.9600,2345000000.00
2026-04-07T19:01:52.425365,32,21,32,53,10,31,-69.1700,2345000000.10
2026-04-07T19:01:53.519395,32,22,32,54,12,34,-69.7500,2344999999.90
2026-04-07T19:01:54.618928,32,23,32,55,14,37,-70.4700,2345000000.10
2026-04-07T19:01:55.713586,32,24,32,56,16,40,-71.7000,2345000000.10
2026-04-07T19:01:56.806473,32,25,32,57,18,43,-73.4300,2345000000.00
2026-04-07T19:01:57.895001,32,26,32,58,20,46,-75.3200,2345000000.00
2026-04-07T19:01:58.979605,32,27,32,59,22,49,-78.0700,2345000000.00
2026-04-07T19:02:00.066526,32,28,32,60,24,52,-79.2400,2345000000.10
2026-04-07T19:02:01.159987,32,29,32,61,26,55,-76.2900,2344999999.90
2026-04-07T19:02:02.250573,32,30,32,62,28,58,-73.5100,2345000000.10
2026-04-07T19:02:03.338413,32,31,32,63,30,61,-70.7000,2345000000.00
2026-04-07T19:02:04.433066,32,32,32,0,32,0,-68.4700,2345000000.00
2026-04-07T19:02:05.519371,32,33,32,1,34,3,-66.3800,2345000000.00
2026-04-07T19:02:06.605039,32,34,32,2,36,6,-65.1100,2345000000.00
2026-04-07T19:02:07.695814,32,35,32,3,38,9,-63.6800,2345000000.00
2026-04-07T19:02:08.784283,32,36,32,4,40,12,-62.6900,2345000000.00
2026-04-07T19:02:09.878475,32,37,32,5,42,15,-61.7800,2345000000.00
2026-04-07T19:02:10.972339,32,38,32,6,44,18,-61.1800,2345000000.00
2026-04-07T19:02:12.058939,32,39,32,7,46,21,-60.6300,2345000000.10
2026-04-07T19:02:13.147750,32,40,32,8,48,24,-60.1800,2345000000.10
2026-04-07T19:02:14.240344,32,41,32,9,50,27,-60.0500,2345000000.10
2026-04-07T19:02:15.326648,32,42,32,10,52,30,-59.7700,2345000000.00
2026-04-07T19:02:16.413455,32,43,32,11,54,33,-59.7800,2345000000.00
2026-04-07T19:02:17.504394,32,44,32,12,56,36,-59.7600,2345000000.00
2026-04-07T19:02:18.591746,32,45,32,13,58,39,-59.9800,2345000000.00
2026-04-07T19:02:19.677740,32,46,32,14,60,42,-60.0400,2345000000.19
2026-04-07T19:02:20.782450,32,47,32,15,62,45,-60.5600,2345000000.00
2026-04-07T19:02:21.871520,32,48,32,16,0,48,-60.8600,2345000000.10
2026-04-07T19:02:22.961547,32,49,32,17,2,51,-61.7200,2345000000.00
2026-04-07T19:02:24.049504,32,50,32,18,4,54,-62.3300,2345000000.00
2026-04-07T19:02:25.139094,32,51,32,19,6,57,-63.4600,2345000000.00
2026-04-07T19:02:26.229873,32,52,32,20,8,60,-64.2900,2344999999.90
2026-04-07T19:02:27.317826,32,53,32,21,10,63,-65.8200,2345000000.10
2026-04-07T19:02:28.406100,32,54,32,22,12,2,-67.5500,2345000000.00
2026-04-07T19:02:29.495073,32,55,32,23,14,5,-69.5500,2345000000.10
2026-04-07T19:02:30.582577,32,56,32,24,16,8,-71.5500,2344999999.90
2026-04-07T19:02:31.669676,32,57,32,25,18,11,-73.1700,2345000000.19
2026-04-07T19:02:32.749454,32,58,32,26,20,14,-74.4800,2345000000.10
2026-04-07T19:02:33.841761,32,59,32,27,22,17,-73.9100,2345000000.10
