# Version 1.00
#
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,
2.396500000000000E+009,1.744245395772107E-001,-2.170434712014113E-004,-8.016039702149839E-004,1.661087280317973E-003,-1.488233979978885E+000,4.469706632437611E-001,7.757638332991293E-002,1.421780003065377E-001,
2.396513979634018E+009,1.562391475104897E-001,1.080722646249215E-002,2.930836932550170E-003,3.818173685660707E-003,-1.454853180818089E+000,4.326675017517347E-001,7.165094320638546E-002,1.415160826000218E-001,
2.396527959349583E+009,1.590976576941178E-001,-3.888249633384897E-003,-4.531134390486588E-005,4.923372086780912E-003,-1.454603419112187E+000,4.481073321677909E-001,2.374599538111445E-002,1.442092336415166E-001,
2.396541939146698E+009,1.600821114500344E-001,1.082727166992537E-003,1.715599348518146E-003,-1.815444657986058E-003,-1.488505529131911E+000,4.520537922077128E-001,5.418037358767863E-002,1.203956205088288E-001,
2.396555919025361E+009,1.735209387201357E-001,-2.946762914523523E-002,-7.262852422217933E-004,4.562424837896686E-003,-1.463270269140786E+000,4.717951744237979E-001,5.590002312536477E-002,1.415124259669960E-001,
2.396569898985574E+009,1.562191461604954E-001,-2.425962415021621E-002,-1.432041706228675E-004,-1.000566431357785E-004,-1.491454599888268E+000,4.747461965646758E-001,6.733412509460243E-002,1.395470635523237E-001,
2.396583879027337E+009,1.696869807157232E-001,-1.071211118878111E-002,-1.840315965491106E-003,-1.429398179867352E-003,-1.466567831784607E+000,4.837162197808702E-001,5.951627117084828E-002,1.337078213223236E-001,
2.396597859150651E+009,1.770449154595992E-001,-2.672271088739072E-002,-2.001989728174812E-003,1.683402930768973E-003,-1.488563489512573E+000,4.575310854646799E-001,6.272301107348785E-002,1.375334911625880E-001,
2.396611839355515E+009,1.676231424005628E-001,-3.907387154489982E-003,3.681206944429927E-003,-1.263088978800506E-003,-1.448785725901121E+000,4.544402658277699E-001,5.168066750807998E-002,1.392442557083056E-001,
2.396625819641931E+009,1.486258384633689E-001,-1.411876601215792E-002,-1.965272454037026E-003,5.787716588270324E-003,-1.457290207127524E+000,4.714502570282294E-001,5.257416571684785E-002,1.476309167573402E-001,
2.396639800009899E+009,1.567406272639584E-001,-2.033033700774130E-002,-8.712856008142624E-005,-4.088951633478040E-003,-1.470410839355687E+000,4.660902059517589E-001,5.888250211336771E-002,1.382985138250556E-001,
2.396653780459420E+009,1.810738273154091E-001,-2.154270086855072E-002,2.634460806445847E-003,4.606040977236082E-004,-1.461467289488811E+000,4.803084450696981E-001,7.046427896747412E-002,1.495590372846261E-001,
2.396667760990493E+009,1.573996190028863E-001,-1.376993820197744E-002,-2.000165156798768E-003,-1.310054034467738E-004,-1.479315418907591E+000,4.770623617753593E-001,6.127504691368370E-002,1.059882885738089E-001,
2.396681741603120E+009,1.592038918179492E-001,-2.066344505187022E-003,-2.581389294443624E-003,-4.351806057221371E-004,-1.462553329115415E+000,5.044709976201343E-001,7.152229413195302E-002,1.524612570483605E-001,
2.396695722297301E+009,1.615350067436125E-001,-5.542306476228373E-003,-1.003248717913787E-003,6.819208692762808E-003,-1.433324638252067E+000,5.068995763763162E-001,6.459976256297367E-002,1.326959302618418E-001,
