# Version 1.00
#
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,
2.500000000000000E+009,-2.168880850076675E-001,-3.185130462737056E-001,-7.243708517095026E-004,-5.371356965042651E-004,4.649029078227211E+000,-4.245886802673340E+000,-1.173655390739441E-001,1.001046227293316E-001,
2.501300000000000E+009,-2.215199023485184E-001,-3.138459686390486E-001,-1.078002717935555E-003,7.616566726937890E-004,4.197390381398837E+000,-4.763691425323486E+000,-1.118087098002434E-001,1.128610094052734E-001,
2.502600000000000E+009,-2.290852367877960E-001,-3.065258555981532E-001,3.092830407929948E-004,5.769521812908351E-004,3.687028847380018E+000,-5.156980037689209E+000,-9.823210537433624E-002,1.271892417529560E-001,
2.503900000000000E+009,-2.340195327997208E-001,-3.016772000059241E-001,-9.296508144191857E-004,3.870354266837239E-004,3.091003521520902E+000,-5.499166011810303E+000,-8.801422268152237E-002,1.402603435143290E-001,
2.505200000000000E+009,-2.475591450929642E-001,-2.971188575923307E-001,-2.917505744826699E-004,-1.126123010180891E-003,2.523365267332181E+000,-5.833686351776123E+000,-7.136310636997223E-002,1.502717734354369E-001,
2.506500000000000E+009,-2.462592869997025E-001,-2.913695312393884E-001,1.199002124226846E-003,-1.014409790514037E-004,1.906073907545027E+000,-6.041274070739746E+000,-6.093832477927208E-002,1.618678506882877E-001,
2.507800000000000E+009,-2.498141676187515E-001,-2.844235618270076E-001,-6.568027793187878E-004,-1.404220936819911E-003,1.285750973616329E+000,-6.195336818695068E+000,-4.681726917624474E-002,1.666150615902021E-001,
2.509100000000000E+009,-2.564479410648346E-001,-2.802460078693591E-001,1.248571168326938E-003,-3.255310584791005E-004,6.519340935852975E-001,-6.285341739654541E+000,-3.036582097411156E-002,1.678165273363593E-001,
2.510400000000000E+009,-2.628734409809113E-001,-2.729233726878493E-001,9.225443310311850E-005,-1.061215298250318E-003,-5.725754562041910E-002,-6.311542987823486E+000,-2.031709440052509E-002,1.614072420723811E-001,
2.511700000000000E+009,-2.717152535915375E-001,-2.732472482517415E-001,8.289145809021670E-004,-8.531753555871546E-004,-6.884781735446355E-001,-6.296634674072266E+000,3.124020528048277E-003,1.639103845393444E-001,
2.513000000000000E+009,-2.759709656238556E-001,-2.610810920064026E-001,-1.146932903731909E-003,4.292339726816863E-004,-1.333126850018168E+000,-6.181213378906250E+000,1.941944286227226E-002,1.597666917663872E-001,
2.514300000000000E+009,-2.829828858375549E-001,-2.498796799491663E-001,-1.583328754612916E-003,-1.250193687155843E-003,-2.022397193671412E+000,-5.989414215087891E+000,3.190853819251061E-002,1.573855278004760E-001,
2.515600000000000E+009,-2.869408726692200E-001,-2.434915718658233E-001,-1.145008490045896E-003,4.429643158800900E-004,-2.646604017140396E+000,-5.752503395080566E+000,4.317659884691238E-002,1.409155480216700E-001,
2.516900000000000E+009,-2.926200926303864E-001,-2.390942871059553E-001,-7.247198948079228E-004,-1.424840535037220E-003,-3.245587893772091E+000,-5.459208488464356E+000,6.226578354835510E-002,1.297693499705740E-001,
2.518200000000000E+009,-2.948296666145325E-001,-2.299203891687209E-001,9.629669200522336E-004,-1.886910060420632E-003,-3.748133618290005E+000,-5.089464187622070E+000,7.303624600172043E-002,1.237391832977419E-001,
2.519500000000000E+009,-2.988933026790619E-001,-2.310603331062205E-001,-9.770516255059685E-004,-4.483986122068018E-004,-4.279323082319701E+000,-4.666210651397705E+000,7.446796447038651E-002,1.135172817560127E-001,
2.520800000000000E+009,-3.075974285602570E-001,-2.226897768108269E-001,9.580981850448774E-004,-9.597698226571083E-005,-4.734009161138692E+000,-4.174355506896973E+000,8.736236393451691E-002,9.640084302372401E-002,
2.522100000000000E+009,-3.089430332183838E-001,-2.161882787706528E-001,-6.136271409828590E-004,1.314375665970147E-003,-5.172342769132322E+000,-3.665493488311768E+000,9.286867827177048E-002,8.211420268195500E-002,
2.523400000000000E+009,-3.136772215366364E-001,-2.060443555267865E-001,3.641858253060893E-004,9.061624878086150E-004,-5.493128206349110E+000,-3.080733776092529E+000,9.414203464984894E-002,6.227237667376358E-002,
2.524700000000000E+009,-3.208976387977600E-001,-2.058793470979581E-001,2.391153766365184E-004,8.524569566361606E-004,-5.771043373936544E+000,-2.499343156814575E+000,9.364030510187149E-002,4.602222652425509E-002,
2.526000000000000E+009,-3.157655596733093E-001,-1.886746756307836E-001,6.209323656526496E-004,9.050795924849808E-004,-6.007177622313969E+000,-1.831030011177063E+000,8.979626744985580E-002,2.973444679836558E-002,
2.527300000000000E+009,-3.316966593265533E-001,-1.798702599108012E-001,-7.718937817239229E-004,-6.096971337683499E-004,-6.189415736031950E+000,-1.168379545211792E+000,8.406627178192139E-002,9.922861236783553E-003,
2.528600000000000E+009,-3.278852403163910E-001,-1.743860349242072E-001,-1.235226885657920E-003,1.047426048899069E-004,-6.218540124273484E+000,-5.837898254394531E-001,8.132359385490418E-002,-8.508418167629542E-003,
2.529900000000000E+009,-3.331122398376465E-001,-1.691128569435588E-001,-1.935789064866091E-003,1.064030919224024E-003,-6.228772376994210E+000,7.445055991411209E-002,6.469410657882690E-002,-1.578596230062844E-002,
2.531200000000000E+009,-3.404600620269775E-001,-1.594019409081048E-001,-3.710840921743078E-004,-9.609270491637290E-004,-6.205442915098122E+000,7.705724835395813E-001,6.109692901372910E-002,-2.581989948287074E-002,
2.532500000000000E+009,-3.395135402679443E-001,-1.457253552063426E-001,9.880221248141788E-004,-9.103094926103950E-004,-6.079116935183686E+000,1.412229895591736E+000,4.595499485731125E-002,-4.584482276078246E-002,
2.533800000000000E+009,-3.397305607795715E-001,-1.456301784591977E-001,4.402603972480846E-004,1.312387641519308E-003,-5.869412829838831E+000,2.037209033966065E+000,3.690395876765251E-002,-5.119003060433677E-002,
2.535100000000000E+009,-3.465873599052429E-001,-1.297520098620542E-001,-3.906579851139559E-004,-2.114682924002409E-003,-5.630492005823149E+000,2.639497995376587E+000,1.440901961177588E-002,-5.992982482973900E-002,
2.536400000000000E+009,-3.494610786437988E-001,-1.210626445682170E-001,-7.259820895647946E-004,4.123995895497501E-004,-5.291784537299602E+000,3.207051753997803E+000,5.738962907344103E-003,-5.791973219460597E-002,
2.537700000000000E+009,-3.578009307384491E-001,-1.177156604585380E-001,3.993172459051330E-004,2.181547228246927E-003,-4.947023901950916E+000,3.746962308883667E+000,-1.976330764591694E-002,-6.329551783653900E-002,
2.539000000000000E+009,-3.548039197921753E-001,-1.138107448564013E-001,-1.041292345729832E-004,3.335378132760525E-004,-4.505322197995900E+000,4.191790103912354E+000,-3.635803610086441E-002,-6.109424154179437E-002,
2.540300000000000E+009,-3.601903915405273E-001,-1.024471594172060E-001,7.384776746221422E-004,1.298543880693615E-003,-4.052228822984046E+000,4.662905216217041E+000,-4.375026747584343E-002,-6.339647431784556E-002,
2.541600000000000E+009,-3.595652580261231E-001,-9.995923315009510E-002,3.529853950960957E-004,1.475055818445981E-003,-3.550259585923505E+000,5.060818672180176E+000,-5.922562628984451E-002,-5.252141092628006E-002,
2.542900000000000E+009,-3.622299730777741E-001,-8.413545020855549E-002,1.137895140062761E-003,-7.996608619578183E-004,-2.994168140818989E+000,5.396801948547363E+000,-7.893468439579010E-002,-5.127365167354801E-002,
2.544200000000000E+009,-3.636936545372009E-001,-7.869787381462604E-002,-8.242010701375872E-004,3.053841355722398E-004,-2.387632200593528E+000,5.662886619567871E+000,-9.557792544364929E-002,-4.741286258472947E-002,
2.545500000000000E+009,-3.650604486465454E-001,-6.210575250481736E-002,8.605799912653597E-004,4.383360501378775E-004,-1.803630731828063E+000,5.891570568084717E+000,-1.072564050555229E-001,-3.211015975703781E-002,
2.546800000000000E+009,-3.695762157440186E-001,-5.461802613967348E-002,3.757059372992258E-004,4.251722712069750E-004,-1.186967285304050E+000,6.059609889984131E+000,-1.177476346492767E-001,-1.751284958172264E-002,
2.548100000000000E+009,-3.567968606948853E-001,-5.164698928978496E-002,1.653299613937251E-003,8.163575548678637E-004,-5.451403445732054E-001,6.075790882110596E+000,-1.268857866525650E-001,-1.050508134361259E-002,
2.549400000000000E+009,-3.682126402854919E-001,-4.099504526931282E-002,5.797808076316142E-005,-6.965267239138484E-004,9.198623305941206E-002,6.142414569854736E+000,-1.326345950365067E-001,1.290174434672652E-002,
2.550700000000000E+009,-3.676357865333557E-001,-2.736401419920558E-002,1.686136826733295E-003,1.235028263181448E-003,7.512715178245806E-001,6.073301315307617E+000,-1.361442506313324E-001,2.994701039387496E-002,
2.552000000000000E+009,-3.661328256130219E-001,-2.175327989232749E-002,-5.059463838289752E-004,6.329308380372822E-004,1.394671316540994E+000,5.951686382293701E+000,-1.393321901559830E-001,4.121085384953434E-002,
2.553300000000000E+009,-3.708495795726776E-001,-1.864079245898856E-002,-4.842905770557219E-004,1.434425823390484E-003,1.958979754849958E+000,5.828614234924316E+000,-1.362588405609131E-001,5.669459013514416E-002,
2.554600000000000E+009,-3.736018836498261E-001,-7.978238999049668E-003,2.195778203424061E-003,9.597635362297297E-004,2.542484339377076E+000,5.579045772552490E+000,-1.335188746452332E-001,6.963051786145612E-002,
2.555900000000000E+009,-3.692796230316162E-001,9.710507886354280E-004,3.645444591107416E-004,-1.391212339513004E-003,3.153218932439014E+000,5.266008377075195E+000,-1.329491883516312E-001,9.107921606041891E-002,
2.557200000000000E+009,-3.701979815959930E-001,1.338238143162028E-002,2.198956027132403E-004,-1.369284698739648E-003,3.696115448900766E+000,4.901968955993652E+000,-1.236376911401749E-001,1.018345664359980E-001,
2.558500000000000E+009,-3.738098740577698E-001,2.453670333815989E-002,8.195491850451188E-005,-7.139963563531637E-004,4.200517139211450E+000,4.465323448181152E+000,-1.128847897052765E-001,1.231858252411531E-001,
2.559800000000000E+009,-3.628936409950256E-001,2.624593468986346E-002,-6.285506798162801E-004,-8.612034143880010E-004,4.616265429861942E+000,3.997191429138184E+000,-1.015587076544762E-001,1.249382537197288E-001,
2.561100000000000E+009,-3.609500825405121E-001,3.622734497773070E-002,-7.776290095308675E-004,3.469576768111438E-004,4.985111095896343E+000,3.465371131896973E+000,-8.341386914253235E-002,1.322492827306491E-001,
2.562400000000000E+009,-3.612905442714691E-001,4.474259845566729E-002,-7.906495354655581E-004,-1.645833719521761E-003,5.278207266056254E+000,2.956533432006836E+000,-8.045131713151932E-002,1.456712439859782E-001,
